process_name,avg_wait_time,avg_turnaround_time,context_switches
P281,37420.31672597865,37471.53380782918,283
P282,37646.78014184397,37698.08865248227,284
P283,37873.473498233216,37924.87632508834,283
P284,38103.19366197183,38154.68309859155,285
P285,38334.55789473684,38386.10526315789,287
P286,38566.618881118884,38618.32167832168,286
P287,38801.11846689895,38852.90243902439,288
P288,39037.711805555555,39089.54513888889,289
P289,39276.290657439444,39328.04844290658,291
P290,39515.39655172414,39567.06551724138,295
P291,39742.26116838488,39794.03436426117,291
P292,39971.37671232877,40023.04794520548,292
P293,40202.72013651877,40254.470989761096,294
P294,40436.18707482993,40487.95918367347,295
P295,40671.47457627119,40723.41016949152,295
P296,40909.38851351351,40961.35472972973,297
P297,41150.07407407407,41202.18855218855,297
P298,41393.6644295302,41445.671140939594,299
P299,41638.21070234114,41690.17725752509,300
P300,41885.246666666666,41937.13,302
P301,42134.202657807306,42186.232558139534,301
P302,42386.35430463576,42438.38079470199,303
P303,42641.05280528053,42692.94719471947,304
P304,42897.33223684211,42949.30592105263,304
P305,43155.57377049181,43207.3868852459,305
P306,43416.62745098039,43468.59150326798,306
P307,43680.55048859935,43732.4332247557,308
P308,43946.646103896106,43998.67207792208,309
P309,44213.59223300971,44265.53398058253,310
P310,44479.64838709677,44531.73225806452,310
P311,44748.86816720257,44800.961414790996,313
P312,45020.35897435898,45072.554487179485,312
P313,45294.693290734824,45347.00638977636,313
P314,45572.46496815287,45624.86942675159,315
P315,45852.34285714286,45904.653968253966,316
P316,46134.83544303798,46187.18987341772,317
P317,46420.18296529968,46472.65615141956,317
P318,46708.85849056604,46761.4748427673,318
P319,46999.71473354232,47052.25078369906,319
P320,47294.478125,47347.025,322
P321,47591.48598130841,47644.07788161994,323
P322,47885.3198757764,47937.86645962733,324
P323,48180.20433436533,48232.74613003096,326
P324,48467.885802469136,48520.32716049383,326
P325,48753.04,48805.49846153846,325
P326,49040.94478527607,49093.41104294478,327
P327,49330.63608562691,49383.192660550456,327
P328,49623.19817073171,49675.83841463415,329
P329,49917.01519756839,49969.617021276594,330
P330,50213.22424242424,50265.89696969697,330
P331,50512.691842900305,50565.38972809668,332
P332,50814.5843373494,50867.14156626506,334
P333,51117.35735735736,51169.84984984985,337
P334,51411.206586826345,51463.68263473054,337
P335,51697.03582089552,51749.36119402985,344
P336,51962.854166666664,52015.16369047619,338
P337,52223.213649851634,52275.37685459941,337
P338,52485.724852071005,52537.769230769234,339
P339,52750.15634218289,52802.30088495575,339
P340,53015.888235294115,53067.93823529412,340
P341,53282.76539589443,53334.69208211144,342
P342,53551.45321637427,53603.34795321638,343
P343,53822.54518950437,53874.548104956266,343
P344,54096.20058139535,54148.142441860466,344
P345,54372.44057971014,54424.289855072464,345
P346,54650.64161849711,54702.34393063584,346
P347,54931.49855907781,54983.31412103747,347
P348,55214.39942528736,55266.07183908046,348
P349,55500.295128939826,55552.0659025788,351
P350,55785.22285714286,55837.04571428571,351
P351,56071.874643874646,56123.57264957265,353
P352,56357.95738636364,56409.735795454544,352
P353,56644.90651558073,56696.54107648725,353
P354,56933.706214689264,56985.4604519774,354
P355,57224.7014084507,57276.535211267605,356
P356,57515.48314606742,57567.176966292136,356
P357,57808.80672268908,57860.403361344535,359
P358,58103.349162011174,58155.072625698325,358
P359,58399.949860724235,58451.58495821727,360
P360,58697.819444444445,58749.322222222225,361
P361,58995.639889196675,59047.15235457064,362
P362,59294.89502762431,59346.47790055248,362
P363,59596.86776859504,59648.561983471074,363
P364,59901.656593406595,59953.368131868134,366
P365,60207.520547945205,60259.30684931507,365
P366,60516.188524590165,60568.092896174865,366
P367,60827.74931880109,60879.610354223434,368
P368,61140.247282608696,61192.17391304348,369
P369,61453.628726287265,61505.444444444445,371
P370,61768.33783783784,61820.137837837836,372
P371,62080.67654986523,62132.3423180593,383
P372,62364.85752688172,62416.408602150535,385
P373,62616.32707774799,62667.823056300265,384
P374,62841.28342245989,62892.75133689839,376
P375,63063.037333333334,63114.6,375
P376,63286.90691489362,63338.58776595745,376
P377,63512.95225464191,63564.527851458886,377
P378,63741.48412698413,63793.01058201058,380
P379,63971.51451187335,64023.09498680739,379
P380,64204.073684210525,64255.64736842105,381
P381,64438.587926509186,64490.06824146982,384
P382,64671.82722513089,64723.24607329843,384
P383,64905.78851174935,64957.258485639686,383
P384,65141.921875,65193.4609375,384
P385,65380.70649350649,65432.35324675325,385
P386,65622.16839378238,65673.88860103628,387
P387,65864.80620155038,65916.41085271318,387
P388,66109.86597938144,66161.47164948453,391
P389,66354.45244215938,66406.1825192802,389
P390,66599.77435897436,66651.38717948718,390
P391,66846.92071611254,66898.48337595908,391
P392,67095.10969387754,67146.58673469388,393
P393,67343.89058524174,67395.35368956743,394
P394,67594.5,67646.05583756346,394
P395,67847.58987341772,67899.04050632911,395
P396,68102.48484848485,68153.85353535354,396
P397,68359.53904282115,68410.8992443325,398
P398,68618.67336683418,68670.11055276381,398
P399,68879.4536340852,68930.76441102757,399
P400,69142.6,69193.9875,400
P401,69407.99251870323,69459.34912718204,402
P402,69675.0895522388,69726.52985074627,402
P403,69944.93300248138,69996.27047146401,403
P404,70217.57425742575,70268.95297029703,406
P405,70491.45925925925,70542.9037037037,405
P406,70768.24384236454,70819.77586206897,406
P407,71047.93857493857,71099.44471744471,408
P408,71329.87009803922,71381.38235294117,410
P409,71613.33007334963,71664.93887530563,409
P410,71899.78048780488,71951.49024390244,410
P411,72189.75912408759,72241.48175182482,413
P412,72481.58009708738,72533.22087378641,416
P413,72772.09685230024,72823.82566585956,413
P414,73065.2342995169,73117.00483091787,415
P415,73360.7951807229,73412.6313253012,415
P416,73659.55288461539,73711.41826923077,417
P417,73960.95683453238,74012.88009592326,417
P418,74265.49043062201,74317.38755980862,421
P419,74570.76133651551,74622.69212410501,423
P420,74869.11666666667,74921.10238095238,420
P421,75170.19239904988,75222.28978622328,421
P422,75474.38862559242,75526.5260663507,423
P423,75780.87470449173,75832.94562647754,425
P424,76089.16273584905,76141.28773584905,425
P425,76396.76,76448.85176470588,427
P426,76706.52347417841,76758.58920187794,429
P427,77012.74473067916,77064.82903981264,427
P428,77321.78504672897,77373.94859813084,428
P429,77633.55944055945,77685.79254079254,430
P430,77947.16511627907,77999.33255813953,431
P431,78262.86542923434,78315.04408352668,432
P432,78581.04166666667,78633.18981481482,434
P433,78899.71362586605,78951.94919168591,433
P434,79220.78801843317,79272.95161290323,434
P435,79543.79770114942,79595.84367816092,435
P436,79869.19036697247,79921.15366972476,436
P437,80197.28832951945,80249.26773455378,438
P438,80527.55479452055,80579.47716894977,439
P439,80859.67653758542,80911.68109339407,439
P440,81194.47954545454,81246.45454545454,440
P441,81532.26077097506,81584.22675736962,443
P442,81870.5226244344,81922.50226244344,443
P443,82209.21896162529,82261.22347629796,443
P444,82550.6081081081,82602.71846846846,444
P445,82894.31685393259,82946.31910112359,445
P446,83240.38565022421,83292.37892376681,447
P447,83588.49217002238,83640.38926174496,450
P448,83936.12723214286,83988.12053571429,448
P449,84286.09131403117,84338.05567928731,449
P450,84638.50888888889,84690.39111111111,450
P451,84993.66518847007,85045.49667405765,453
P452,85350.40044247788,85402.26769911505,453
P453,85708.48785871964,85760.4238410596,453
P454,86069.28193832599,86121.16079295154,455
P455,86432.24835164835,86484.03076923077,457
P456,86794.03070175438,86845.79824561403,457
P457,87157.85995623632,87209.72428884027,457
P458,87524.02401746725,87575.8711790393,458
P459,87892.07189542483,87943.90413943355,460
P460,88262.85869565218,88314.63260869565,463
P461,88635.2928416486,88687.12147505423,465
P462,88996.74025974025,89048.62337662338,462
P463,89361.14470842332,89413.01727861771,465
P464,89727.7176724138,89779.68103448275,464
P465,90097.15483870968,90149.22150537635,465
P466,90469.62231759657,90521.71888412017,468
P467,90844.1670235546,90896.29336188437,467
P468,91221.77991452992,91273.95512820513,468
P469,91602.34115138593,91654.43496801706,469
P470,91985.85744680851,92037.98936170213,471
P471,92370.94267515924,92422.97027600849,471
P472,92758.90677966102,92810.875,475
P473,93148.5200845666,93200.43128964059,488
