process_name,avg_wait_time,avg_turnaround_time,context_switches
P168,303249.85714285716,303463.1845238095,168
P169,308347.46153846156,308562.07100591715,171
P170,313231.77647058823,313447.6705882353,170
P171,318242.1988304094,318459.36842105264,172
P172,323223.0813953488,323441.51744186046,172
P173,328307.64739884395,328527.34682080924,173
P174,333537.6781609195,333758.6494252874,174
P175,338850.92,339073.15428571426,175
P176,344265.32954545453,344488.8181818182,176
P177,349850.8587570622,350075.5988700565,178
P178,355372.93258426967,355598.9157303371,178
P179,360984.12290502794,361211.3463687151,179
P180,366749.9611111111,366978.4277777778,180
P181,372608.40883977903,372838.11602209945,181
P182,378589.3021978022,378820.2417582418,182
P183,384679.48633879784,384911.6612021858,184
P184,390758.4076086957,390991.8097826087,185
P185,396796.84864864865,397031.4864864865,185
P186,402956.4731182796,403192.3387096774,186
P187,409229.36363636365,409466.44919786096,187
P188,415633.5,415871.80319148937,188
P189,422128.44444444444,422367.9682539682,189
P190,428769.7105263158,429010.46315789473,190
P191,435554.96858638746,435796.9581151832,192
P192,442259.3125,442502.5364583333,192
P193,449165.69430051814,449410.1450777202,193
P194,456185.36597938143,456431.04639175255,194
P195,463253.9846153846,463500.90256410255,195
P196,470492.9183673469,470741.07653061225,197
P197,477750.30964467005,477999.7055837563,199
P198,484841.595959596,485092.22222222225,199
P199,491825.6432160804,492077.5075376884,199
P200,498938.895,499191.995,200
P201,506201.0199004975,506455.3631840796,201
P202,513608.4702970297,513864.05445544556,202
P203,521105.3842364532,521362.2118226601,203
P204,528782.0294117647,529040.0980392157,204
P205,536527.9268292683,536787.2390243902,205
P206,544437.9757281553,544698.5242718447,206
P207,552521.9661835749,552783.7584541063,207
P208,560673.4615384615,560936.5048076923,208
P209,568987.9043062201,569252.1913875598,210
P210,577274.6714285715,577540.1952380952,210
P211,585643.4170616114,585910.1706161137,211
P212,594207.2924528302,594475.2688679246,212
P213,602868.352112676,603137.558685446,214
P214,611488.3691588785,611758.808411215,214
P215,620240.4697674419,620512.1441860466,215
P216,629179.0787037037,629451.9907407408,217
P217,638030.9723502304,638305.1198156682,217
P218,647022.9678899082,647298.3532110092,219
P219,656008.105022831,656284.7351598174,219
P220,665105.2545454545,665383.1227272727,220
P221,674331.8552036199,674610.9592760181,221
P222,683757.099099099,684037.4414414414,222
P223,693281.2152466368,693562.798206278,223
P224,702931.6339285715,703214.4553571428,224
P225,712800.8222222222,713084.8755555556,226
P226,722660.3938053098,722945.685840708,227
P227,732429.9823788546,732716.5110132159,227
P228,742421.3552631579,742709.1271929825,229
P229,752315.615720524,752604.6375545851,229
P230,762336.5782608696,762626.8565217392,230
P231,772600.2251082251,772891.7662337662,232
P232,782713.8103448276,783006.6206896552,232
P233,793002.1502145922,793296.2360515022,234
P234,803317.1282051282,803612.4914529915,235
P235,813499.544680851,813796.1872340426,236
P236,823665.6059322034,823963.533898305,236
P237,834055.3797468354,834354.5949367088,240
P238,843899.8319327731,844200.3403361344,238
P239,853942.5983263599,854244.4058577406,239
P240,864118.9916666667,864422.0916666667,240
P241,874395.2199170125,874699.6058091286,241
P242,884957.5867768595,885263.2561983471,244
P243,895233.7489711934,895540.70781893,244
P244,905401.0655737704,905709.3155737704,244
P245,915776.6489795918,916086.1877551021,245
P246,926423.756097561,926734.581300813,249
P247,936495.7368421053,936807.8421052631,247
P248,946794.4556451613,947107.8387096775,248
P249,957238.1927710844,957552.8473895582,249
P250,967820.452,968136.38,250
P251,978670.860557769,978988.0597609562,252
P252,989386.1111111111,989704.5753968254,253
P253,1000063.0079051383,1000382.7391304348,254
P254,1010732.7440944882,1011053.7440944882,256
P255,1021241.0196078431,1021563.2862745099,255
P256,1031830.6328125,1032154.1640625,256
P257,1042552.9805447471,1042877.7782101168,257
P258,1053478.8953488371,1053804.953488372,258
P259,1064632.8185328185,1064960.138996139,259
P260,1075830.6,1076159.1884615384,260
P261,1087264.134099617,1087593.9846743294,261
P262,1098929.358778626,1099260.4656488548,264
P263,1110243.8212927757,1110576.1825095057,263
P264,1121755.5833333333,1122089.2007575757,264
P265,1133547.8716981132,1133882.7471698113,266
P266,1145188.1353383458,1145524.2669172932,267
P267,1156809.7303370787,1157147.116104869,267
P268,1168683.6865671643,1169022.328358209,269
P269,1180409.1078066914,1180749.0111524165,269
P270,1192313.4925925925,1192654.6629629629,270
P271,1204437.4243542436,1204779.8671586716,271
P272,1216674.0367647058,1217017.75,272
P273,1229133.0036630037,1229477.989010989,273
P274,1241751.2408759124,1242097.503649635,274
P275,1254512.730909091,1254860.2654545454,275
P276,1267457.8514492754,1267806.6630434783,276
P277,1280608.155234657,1280958.2454873647,277
P278,1293927.1942446043,1294278.5575539568,278
P279,1307414.8136200716,1307767.4516129033,279
P280,1321101.5785714285,1321455.4928571428,280
P281,1334980.8434163702,1335336.0355871886,282
P282,1348739.1276595744,1349095.5992907803,282
P283,1362781.4522968198,1363139.2084805653,283
P284,1376918.2535211267,1377277.2992957747,284
P285,1391267.252631579,1391627.5894736843,285
P286,1405844.2657342658,1406205.8881118882,286
P287,1420544.038327526,1420906.9512195121,287
P288,1435497.15625,1435861.3541666667,289
P289,1450347.2110726645,1450712.69550173,289
P290,1465365.8586206897,1465732.624137931,290
P291,1480662.618556701,1481030.6666666667,292
