no_of_processes,avg_wait_time,avg_turnaround_time,context_switches
208,558359.5336538461,558614.5048076923,207
209,566132.1100478469,566388.3301435406,208
210,574005.6857142857,574263.1523809524,209
211,582072.9763033176,582331.691943128,210
212,590257.3820754717,590517.3490566037,211
213,598554.9248826291,598816.1455399061,212
214,606953.6542056075,607216.1261682243,213
215,615524.0930232558,615787.8139534884,214
216,624276.324074074,624541.2962962963,216
217,632927.0138248848,633193.2396313364,216
218,641768.1055045872,642035.5825688073,219
219,650424.3378995433,650693.0593607306,218
220,659176.7,659446.6681818182,219
221,668068.7782805429,668339.9864253394,220
222,677106.4774774775,677378.9279279279,222
223,686134.3677130045,686408.067264574,222
224,695327.4330357143,695602.3883928572,225
225,704295.1377777777,704571.3422222222,224
226,713395.0309734513,713672.4911504425,225
227,722646.3920704846,722925.1145374449,227
228,731845.7894736842,732125.7807017544,227
229,741201.8165938865,741483.0829694323,228
230,750664.7956521739,750947.3304347827,229
231,760305.5367965368,760589.3376623377,230
232,770109.6939655172,770394.7543103448,231
233,780044.8454935623,780331.1630901288,232
234,790117.0256410256,790404.6068376069,234
235,800164.914893617,800453.7617021276,235
236,810209.7118644068,810499.8220338983,235
237,820418.6371308017,820710.0084388186,236
238,830713.8907563025,831006.525210084,237
239,841166.2008368201,841460.10041841,238
240,851873.9958333333,852169.1541666667,239
241,862636.5684647303,862932.9875518673,240
242,873542.3801652893,873840.0537190082,241
243,884678.2098765433,884977.1399176954,243
244,895794.8729508197,896095.0614754099,244
245,906847.2,907148.6408163265,245
246,917828.849593496,918131.5365853659,246
247,928885.6963562754,929189.6234817813,248
248,939654.2661290322,939959.4314516129,248
249,950373.6506024096,950680.048192771,248
250,961264.468,961572.104,249
251,972326.4661354582,972635.342629482,251
252,983327.5833333334,983637.6984126985,251
253,994525.604743083,994836.9565217391,252
254,1005860.0275590551,1006172.6102362205,253
255,1017367.4156862745,1017681.2274509803,255
256,1028811.25390625,1029126.2890625,255
257,1040472.46692607,1040788.7198443579,257
258,1052023.9728682172,1052341.449612403,257
259,1063790.1737451737,1064108.8764478764,258
260,1075671.223076923,1075991.146153846,259
261,1087731.877394636,1088053.0191570881,261
262,1099782.9541984734,1100105.3167938932,262
