no_of_processes,avg_wait_time,avg_turnaround_time,context_switches
146,88528.95890410959,88696.89726027397,145
147,89741.78911564626,89910.85714285714,146
148,91015.76351351352,91185.9527027027,147
149,92353.0,92524.30201342281,148
150,93755.39333333333,93927.8,149
151,95221.47682119206,95395.0,150
152,96750.78289473684,96925.41447368421,151
153,98349.41830065359,98525.1633986928,152
154,100013.87012987013,100190.72727272728,153
155,101751.56774193549,101929.54838709677,154
156,103556.08974358975,103735.19871794872,155
157,105431.43949044586,105611.68152866242,156
158,107378.66455696203,107560.04430379746,157
159,109397.6603773585,109580.18867924529,158
160,111492.9,111676.58125,159
161,113660.6894409938,113845.52173913043,160
162,115906.20370370371,116092.19135802469,161
163,118224.33742331289,118411.49079754601,162
164,120623.05487804877,120811.37804878049,163
165,123098.90303030303,123288.4,164
166,125651.98795180723,125842.6686746988,165
167,128289.06586826347,128480.92215568862,166
168,131001.32142857143,131194.3630952381,167
169,133803.70414201185,133997.9349112426,168
170,136683.22352941177,136878.64705882352,169
171,139651.47953216374,139848.08771929826,170
172,142702.7558139535,142900.55813953487,171
173,145838.9479768786,146037.9479768786,172
174,149064.19540229885,149264.3908045977,173
175,152375.02285714285,152576.4057142857,174
176,155776.9715909091,155979.55113636365,175
177,159265.58757062146,159469.37288135593,176
178,162847.83146067415,163052.82584269662,177
179,166517.96648044692,166724.17877094971,178
180,170288.7,170496.13888888888,180
181,174016.44751381216,174225.1049723757,180
182,177839.92307692306,178049.8021978022,181
183,181752.47540983607,181963.58469945355,182
184,185765.76630434784,185978.10869565216,183
185,189869.1783783784,190082.75675675675,184
186,194077.4516129032,194292.25806451612,185
187,198380.19786096257,198596.23529411765,186
188,202773.37234042553,202990.6489361702,187
189,207283.67195767196,207502.19047619047,188
190,211874.87368421053,212094.64210526316,189
191,216581.59685863875,216802.62303664922,190
192,221382.91145833334,221605.19791666666,191
193,226286.52849740934,226510.0725388601,192
194,231304.20103092783,231528.99484536084,193
195,236406.01025641026,236632.05641025642,194
196,241641.8112244898,241869.11224489796,195
197,246956.53299492385,247185.08629441625,196
198,252403.9797979798,252633.78787878787,197
199,257941.01005025127,258172.0703517588,198
200,263582.44,263814.755,199
201,269360.7661691542,269594.3432835821,200
202,275212.54455445544,275447.38118811883,201
203,281212.2610837438,281448.3596059113,203
204,287152.7205882353,287390.0882352941,203
205,293195.8487804878,293434.48292682925,204
206,299370.16019417474,299610.0631067961,205
207,305636.768115942,305877.9371980676,206
208,312046.10096153844,312288.53846153844,207
209,318548.8995215311,318792.5980861244,208
210,325185.04761904763,325430.00952380954,209
211,331936.1327014218,332182.3649289099,211
212,338617.2924528302,338864.7924528302,211
213,345444.5070422535,345693.28169014084,212
214,352371.66355140187,352621.70560747664,213
215,359431.8418604651,359683.1581395349,214
216,366605.76851851854,366858.36574074073,215
217,373914.5483870968,374168.4285714286,216
218,381328.9449541284,381584.1055045872,217
219,388880.6894977169,389137.1278538813,219
220,396381.4818181818,396639.19545454544,219
221,403974.6742081448,404233.66968325793,220
222,411736.7162162162,411996.9954954955,221
223,419588.59192825115,419850.1614349776,222
224,427587.9910714286,427850.8526785714,223
225,435715.16,435979.3155555556,224
226,443956.610619469,444222.0663716814,225
227,452341.577092511,452608.33920704847,226
228,460863.1929824561,461131.25877192983,227
229,469509.8951965066,469779.2576419214,229
230,478111.5695652174,478382.2304347826,230
