process_name,avg_wait_time,avg_turnaround_time,context_switches
P199,20092.175879396986,22828.618090452263,200
P200,20152.26,22887.455,201
P201,20211.18905472637,22945.13930348259,202
P202,20270.688118811882,23003.39108910891,203
P203,20333.300492610837,23064.76354679803,204
P204,20392.926470588234,23123.142156862745,205
P205,20457.536585365855,23186.50243902439,206
P206,20517.252427184467,23244.97572815534,207
P207,20580.309178743963,23306.782608695652,208
P208,20643.451923076922,23368.66826923077,209
P209,20705.856459330145,23429.813397129186,210
P210,20771.719047619048,23494.42380952381,211
P211,20834.729857819904,23556.189573459716,212
P212,20900.778301886792,23620.985849056604,213
P213,20966.25821596244,23685.215962441314,214
P214,21033.31308411215,23751.01401869159,215
P215,21098.372093023256,23814.809302325582,216
P216,21167.328703703704,23882.5,217
P217,21233.410138248848,23947.3133640553,218
P218,21300.683486238533,24013.32110091743,219
P219,21369.593607305935,24080.963470319635,220
P220,21440.536363636365,24150.636363636364,221
P221,21511.407239819004,24220.23076923077,222
P222,21581.855855855854,24289.40990990991,223
P223,21653.843049327355,24360.13452914798,224
P224,21724.897321428572,24429.91964285714,225
P225,21798.075555555555,24501.83111111111,226
P226,21870.16814159292,24572.65486725664,227
P227,21943.08370044053,24644.30837004405,228
P228,22016.907894736843,24716.877192982458,229
P229,22090.25327510917,24788.973799126637,230
P230,22167.626086956523,24865.091304347825,231
P231,22241.099567099565,24937.30735930736,232
P232,22319.181034482757,25014.133620689656,233
P233,22394.171673819743,25087.8669527897,234
P234,22472.653846153848,25165.08547008547,235
P235,22547.863829787235,25239.03829787234,236
P236,22626.04661016949,25315.966101694914,237
P237,22704.308016877636,25392.974683544304,238
P238,22785.264705882353,25472.68487394958,239
P239,22862.42677824268,25548.598326359832,240
P240,22942.479166666668,25627.395833333332,241
P241,23020.54356846473,25704.203319502074,242
P242,23101.73140495868,25784.14049586777,243
P243,23182.102880658436,25863.267489711936,244
P244,23263.82786885246,25943.741803278688,245
P245,23344.620408163264,26023.285714285714,246
P246,23426.88211382114,26104.30081300813,247
P247,23507.60728744939,26183.777327935222,248
