dqrr_avg_turnaround_time,dqrr_avg_wait_time,dqrr_context_switches,hrrn_avg_turnaround_time,hrrn_avg_wait_time,hrrn_context_switches,no_of_processes
4.0,0.0,0,4.0,0.0,0,1
4.5,0.0,0,6.5,2.0,1,2
5.333333333333333,0.0,0,11.333333333333334,6.0,2,3
6.75,0.0,0,19.75,13.0,4,4
8.2,0.0,0,26.0,17.8,4,5
9.833333333333334,0.0,0,36.833333333333336,27.0,5,6
11.571428571428571,0.0,0,52.57142857142857,41.0,6,7
13.125,0.0,0,74.5,61.375,7,8
14.666666666666666,0.0,0,103.55555555555556,88.88888888888889,8,9
16.0,0.0,0,139.9,123.9,9,10
17.363636363636363,0.0,0,186.54545454545453,169.1818181818182,11,11
18.583333333333332,0.0,0,227.0,208.41666666666666,11,12
19.76923076923077,0.0,0,278.61538461538464,258.84615384615387,12,13
20.857142857142858,0.0,0,337.14285714285717,316.2857142857143,13,14
22.066666666666666,0.0,0,408.06666666666666,386.0,15,15
23.1875,0.0,0,474.875,451.6875,15,16
24.41176470588235,0.0,0,550.9411764705883,526.5294117647059,16,17
25.555555555555557,0.0,0,638.2777777777778,612.7222222222222,17,18
26.68421052631579,0.0,0,745.2105263157895,718.5263157894736,19,19
27.9,0.0,0,842.6,814.7,19,20
29.19047619047619,0.0,0,956.0952380952381,926.9047619047619,20,21
30.545454545454547,0.0,0,1084.3636363636363,1053.8181818181818,21,22
31.82608695652174,0.0,0,1223.9565217391305,1192.1304347826087,22,23
33.125,0.0,0,1384.875,1351.75,23,24
34.36,0.0,0,1564.04,1529.68,24,25
35.61538461538461,0.0,0,1754.3461538461538,1718.7307692307693,25,26
36.925925925925924,0.0,0,1965.8148148148148,1928.888888888889,26,27
38.285714285714285,0.0,0,2195.75,2157.464285714286,27,28
39.58620689655172,0.0,0,2448.4137931034484,2408.8275862068967,28,29
40.833333333333336,0.0,0,2715.266666666667,2674.4333333333334,29,30
42.03225806451613,0.0,0,3005.3870967741937,2963.3548387096776,30,31
43.21875,0.0,0,3319.15625,3275.9375,31,32
44.36363636363637,0.0,0,3648.060606060606,3603.6969696969695,32,33
45.55882352941177,0.0,0,4005.5588235294117,3960.0,34,34
46.8,0.0,0,4354.142857142857,4307.342857142857,34,35
48.02777777777778,0.0,0,4719.861111111111,4671.833333333333,35,36
49.270270270270274,0.0,0,5111.540540540541,5062.27027027027,36,37
50.55263157894737,0.0,0,5546.8421052631575,5496.289473684211,38,38
51.82051282051282,0.0,0,5953.153846153846,5901.333333333333,38,39
53.125,0.0,0,6383.95,6330.825,39,40
54.41463414634146,0.0,0,6854.682926829269,6800.268292682927,40,41
55.73809523809524,0.0,0,7348.476190476191,7292.738095238095,41,42
57.04651162790697,0.0,0,7862.860465116279,7805.813953488372,42,43
58.34090909090909,0.0,0,8413.34090909091,8355.0,44,44
59.666666666666664,0.0,0,8951.977777777778,8892.31111111111,44,45
60.95652173913044,0.0,0,9531.652173913044,9470.695652173914,46,46
62.255319148936174,0.0,0,10092.191489361701,10029.936170212766,46,47
63.541666666666664,0.0,0,10681.6875,10618.145833333334,47,48
64.81632653061224,0.0,0,11310.714285714286,11245.897959183674,49,49
66.1,0.0,0,11925.76,11859.66,49,50
67.37254901960785,0.0,0,12589.392156862745,12522.019607843138,51,51
68.61538461538461,0.0,0,13216.26923076923,13147.653846153846,51,52
69.86792452830188,0.0,0,13884.66037735849,13814.792452830188,52,53
71.0925925925926,0.0,0,14609.666666666666,14538.574074074075,54,54
72.30909090909091,0.0,0,15310.2,15237.89090909091,54,55
73.53571428571429,0.0,0,16042.94642857143,15969.410714285714,55,56
74.73684210526316,0.0,0,16808.947368421053,16734.21052631579,56,57
75.91379310344827,0.0,0,17609.189655172413,17533.275862068964,57,58
77.08474576271186,0.0,0,18472.881355932204,18395.79661016949,59,59
78.28333333333333,0.0,0,19319.266666666666,19240.983333333334,59,60
79.50819672131148,0.0,0,20192.83606557377,20113.32786885246,60,61
80.7258064516129,0.0,0,21106.225806451614,21025.5,61,62
81.93650793650794,0.0,0,22057.571428571428,21975.634920634922,62,63
83.15625,0.0,0,23057.40625,22974.25,63,64
84.35384615384615,0.0,0,24107.753846153846,24023.4,64,65
85.53030303030303,0.0,0,25194.772727272728,25109.242424242424,65,66
86.71641791044776,0.0,0,26326.86567164179,26240.149253731342,66,67
87.91176470588235,0.0,0,27500.117647058825,27412.20588235294,67,68
89.08695652173913,0.0,0,28733.82608695652,28644.739130434784,68,69
90.24285714285715,0.0,0,29990.885714285716,29900.64285714286,69,70
91.4225352112676,0.0,0,31313.11267605634,31221.690140845072,71,71
92.625,0.0,0,32631.0,32538.375,71,72
93.84931506849315,0.0,0,33978.356164383564,33884.50684931507,72,73
95.05405405405405,0.0,0,35376.82432432433,35281.77027027027,73,74
96.26666666666667,0.0,0,36838.066666666666,36741.8,75,75
97.46052631578948,0.0,0,38279.28947368421,38181.82894736842,76,76
98.63636363636364,0.0,0,39696.64935064935,39598.01298701299,77,77
99.82051282051282,0.0,0,41100.294871794875,41000.47435897436,78,78
101.0,0.0,0,42496.26582278481,42395.26582278481,78,79
102.1625,0.0,0,43953.5625,43851.4,80,80
103.32098765432099,0.0,0,45375.666666666664,45272.345679012345,80,81
104.46341463414635,0.0,0,46847.54878048781,46743.08536585366,81,82
105.60240963855422,0.0,0,48408.67469879518,48303.072289156626,84,83
106.75,0.0,0,49879.46428571428,49772.71428571428,83,84
107.88235294117646,0.0,0,51396.22352941176,51288.34117647059,84,85
109.03488372093024,0.0,0,52957.40697674418,52848.37209302326,85,86
