process_name,avg_wait_time,avg_turnaround_time,context_switches
P65,3107.9384615384615,3183.353846153846,65
P66,3373.1969696969695,3449.712121212121,66
P67,3668.7611940298507,3746.402985074627,68
P68,3956.8823529411766,4035.6470588235293,69
P69,4237.405797101449,4317.275362318841,69
P70,4549.8,4630.785714285715,71
P71,4856.3239436619715,4938.450704225352,71
P72,5192.25,5275.513888888889,73
P73,5522.726027397261,5607.109589041096,73
P74,5888.594594594595,5974.081081081081,75
P75,6244.28,6330.866666666667,75
P76,6635.605263157895,6723.3026315789475,76
P77,7060.987012987013,7149.779220779221,77
P78,7518.423076923077,7608.333333333333,78
P79,8016.607594936709,8107.645569620253,79
P80,8544.85,8637.0,80
P81,9114.024691358025,9207.296296296296,81
P82,9726.585365853658,9820.963414634147,83
P83,10325.0,10420.469879518072,83
P84,10964.92857142857,11061.488095238095,85
P85,11595.094117647059,11692.764705882353,87
P86,12165.476744186046,12264.255813953489,86
P87,12771.356321839081,12871.229885057472,87
P88,13495.102272727272,13596.068181818182,97
P89,13905.033707865168,14007.078651685393,101
P90,14048.433333333332,14151.555555555555,91
P91,14213.439560439561,14317.648351648351,93
P92,14372.33695652174,14477.619565217392,93
P93,14538.849462365592,14645.20430107527,93
P94,14726.372340425532,14833.787234042553,94
P95,14931.78947368421,15040.284210526315,95
P96,15161.9375,15271.5,96
P97,15419.20618556701,15529.835051546392,97
P98,15701.489795918367,15813.183673469388,98
P99,16014.09090909091,16126.858585858587,99
P100,16355.3,16469.15,100
P101,16727.574257425742,16842.51485148515,101
P102,17136.519607843136,17252.56862745098,102
P103,17577.97087378641,17695.14563106796,103
P104,18054.28846153846,18172.596153846152,104
P105,18569.571428571428,18689.02857142857,105
P106,19121.0,19241.594339622643,106
P107,19713.953271028036,19835.70093457944,107
P108,20347.0,20469.916666666668,108
P109,21022.743119266055,21146.844036697246,109
P110,21742.163636363635,21867.463636363635,110
P111,22504.576576576575,22631.07207207207,111
P112,23314.08035714286,23441.758928571428,112
P113,24168.274336283186,24297.141592920354,113
P114,25071.587719298244,25201.63157894737,114
P115,26024.33043478261,26155.539130434783,115
P116,27028.172413793105,27160.543103448275,116
P117,28080.20512820513,28213.735042735043,117
P118,29187.0,29321.686440677968,118
P119,30343.873949579833,30479.731092436974,119
P120,31553.583333333332,31690.6,120
P121,32827.479338842975,32965.669421487604,121
P122,34147.42622950819,34286.7868852459,122
P123,35537.382113821135,35677.918699186994,123
P124,36972.5,37114.22580645161,124
P125,38477.112,38620.032,125
P126,40036.968253968254,40181.09523809524,126
P127,41652.535433070865,41797.88188976378,127
P128,43344.609375,43491.1796875,130
P129,44923.09302325582,45070.8992248062,129
P130,46568.553846153845,46717.584615384614,130
P131,48278.748091603054,48428.99236641221,131
P132,50049.63636363636,50201.106060606064,132
P133,51896.13533834586,52048.83458646617,133
P134,53794.32835820896,53948.26119402985,134
P135,55775.34814814815,55930.525925925926,136
P136,57729.05882352941,57885.492647058825,137
P137,59654.153284671534,59811.83941605839,137
P138,61657.60144927536,61816.536231884056,138
P139,63750.97122302158,63911.1582733813,139
P140,65945.20714285714,66106.65714285715,142
P141,68037.82978723405,68200.55319148937,142
P142,70130.64084507042,70294.64084507042,144
P143,72148.53846153847,72313.81818181818,144
P144,74158.6875,74325.24305555556,145
P145,76147.5172413793,76315.35172413793,145
P146,78209.0890410959,78378.20547945205,146
P147,80343.91836734694,80514.30612244898,147
P148,82550.11486486487,82721.78378378379,148
P149,84828.15436241611,85001.11409395972,149
P150,87193.15333333334,87367.40666666666,150
P151,89623.01324503311,89798.54966887417,151
P152,92130.46052631579,92307.27631578948,152
P153,94718.32679738563,94896.4248366013,153
P154,97384.42857142857,97563.81168831169,154
P155,100140.2,100320.85806451613,155
P156,102960.78846153847,103142.72435897436,156
P157,105864.70063694268,106047.92356687898,157
P158,108859.05696202532,109043.55696202532,159
P159,111841.67295597485,112027.45911949685,159
P160,114909.4625,115096.525,161
P161,117958.7701863354,118147.09937888199,162
P162,121013.35185185185,121202.95679012345,162
P163,124118.19018404908,124309.07975460123,163
P164,127353.81097560975,127545.98780487805,166
P165,130459.01818181819,130652.47878787879,166
P166,133548.1204819277,133742.85542168675,166
P167,136725.5269461078,136921.53293413174,167
P168,139964.85714285713,140162.125,168
P169,143306.39644970413,143504.92899408285,169
P170,146765.90588235293,146965.7117647059,172
P171,150060.99415204677,150262.07602339183,171
P172,153479.03488372092,153681.39534883722,173
P173,156858.75722543354,157062.38728323698,173
P174,160322.13218390805,160527.0287356322,174
P175,163901.46285714285,164107.62285714285,175
P176,167557.58522727274,167765.01136363635,176
P177,171321.3502824859,171530.03954802259,177
P178,175162.65168539327,175372.59550561797,178
P179,179101.37430167597,179312.5810055866,179
P180,183169.90555555557,183382.3777777778,180
P181,187330.11602209945,187543.8453038674,182
P182,191455.6978021978,191670.6923076923,182
P183,195709.95081967214,195926.20765027322,184
P184,199913.9402173913,200131.46195652173,184
P185,204227.43243243243,204446.21081081082,186
P186,208507.24193548388,208727.27956989247,186
P187,212902.7165775401,213124.02139037434,188
P188,217264.72872340426,217487.29787234042,188
P189,221757.97883597884,221981.80423280422,189
P190,226351.68421052632,226576.76315789475,191
P191,230928.70680628272,231155.04712041884,192
P192,235506.24479166666,235733.85416666666,193
P193,240076.35751295337,240305.2383419689,193
P194,244717.61855670103,244947.77835051547,194
P195,249517.01025641026,249748.45128205128,197
P196,254140.48469387754,254373.19897959183,196
P197,258864.0152284264,259098.0,197
P198,263704.12626262626,263939.37373737374,199
P199,268523.7688442211,268760.2864321608,199
P200,273473.97,273711.76,200
P201,278501.3582089552,278740.41791044775,201
P202,283659.09405940596,283899.4306930693,202
P203,288955.921182266,289197.54187192116,205
P204,294071.9362745098,294314.84803921566,204
P205,299318.956097561,299563.1512195122,206
P206,304552.9368932039,304798.4077669903,207
P207,309786.729468599,310033.47826086957,207
P208,315129.9471153846,315377.97596153844,209
P209,320402.8755980861,320652.1818181818,209
P210,325832.0619047619,326082.6523809524,211
P211,331265.2606635071,331517.1374407583,212
P212,336661.2688679245,336914.429245283,212
P213,342156.4929577465,342410.94366197183,213
P214,347782.59345794393,348038.33644859813,214
P215,353547.32558139536,353804.3581395349,216
P216,359262.75,359521.0740740741,217
P217,364956.1382488479,365215.7465437788,218
P218,370630.0137614679,370890.9128440367,218
P219,376406.8447488584,376669.0410958904,219
P220,382336.9772727273,382600.4636363636,220
P221,388367.86425339367,388632.64705882355,221
P222,394512.95945945947,394779.04054054053,222
P223,400844.6412556054,401112.01793721976,224
P224,407133.26785714284,407401.9375,224
P225,413526.4888888889,413796.4533333333,225
P226,420092.69469026546,420363.9469026549,227
P227,426599.44052863435,426871.986784141,228
P228,433075.0438596491,433348.88157894736,228
P229,439739.807860262,440014.93886462884,230
P230,446306.98695652175,446583.4043478261,230
P231,453048.9264069264,453326.6277056277,232
P232,459779.0517241379,460058.0344827586,233
P233,466471.8154506438,466752.07725321886,234
P234,473171.94444444444,473453.4871794872,235
P235,479845.9659574468,480128.7829787234,235
P236,486620.3008474576,486904.38559322036,236
P237,493569.1434599156,493854.4894514768,238
P238,500474.231092437,500760.8403361345,238
P239,507512.6945606695,507800.5690376569,240
P240,514516.05416666664,514805.2,240
P241,521682.8423236515,521973.2531120332,242
P242,528811.5867768595,529103.2685950414,242
P243,536079.5432098765,536372.5020576132,243
P244,543468.8524590164,543763.0901639344,244
