no_of_processes,err_avg_wait_time,err_avg_turnaround_time,err_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
81,3362.3456790123455,3470.716049382716,89,5841.9876543209875,5950.358024691358,185
82,3445.0975609756097,3554.682926829268,91,5994.987804878048,6104.573170731707,189
83,3530.3373493975905,3641.156626506024,92,6139.710843373494,6250.530120481928,190
84,3611.535714285714,3723.5714285714284,93,6297.047619047619,6409.083333333333,193
85,3698.435294117647,3811.705882352941,94,6445.6,6558.870588235294,195
86,3777.5697674418607,3892.0813953488373,95,6633.883720930233,6748.395348837209,197
87,3860.896551724138,3976.632183908046,96,6786.022988505747,6901.758620689655,199
88,3942.9204545454545,4059.8636363636365,98,6924.181818181818,7041.125,203
89,4021.9662921348313,4140.101123595506,97,7050.7191011235955,7168.853932584269,204
90,4103.644444444444,4222.977777777778,100,7245.766666666666,7365.1,207
91,4184.593406593406,4305.120879120879,99,7403.604395604396,7524.131868131868,209
92,4269.20652173913,4390.913043478261,102,7546.608695652174,7668.315217391304,211
93,4358.8279569892475,4481.720430107527,102,7678.688172043011,7801.580645161291,213
94,4443.372340425532,4567.45744680851,104,7882.063829787234,8006.148936170212,217
95,4530.694736842105,4655.968421052631,103,8046.684210526316,8171.957894736842,218
96,4622.25,4748.71875,105,8225.96875,8352.4375,221
97,4709.123711340206,4836.79381443299,106,8394.938144329897,8522.60824742268,223
98,4804.15306122449,4933.040816326531,108,8605.979591836734,8734.867346938776,228
99,4899.030303030303,5029.131313131313,108,8721.424242424242,8851.525252525253,227
100,4993.12,5124.45,110,8940.36,9071.69,231
