no_of_processes,err_avg_wait_time,err_avg_turnaround_time,err_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
60,4188.033333333334,4515.85,72,14718.016666666666,15045.833333333334,135
61,4224.868852459016,4551.508196721312,72,14954.934426229509,15281.573770491803,138
62,4260.064516129032,4585.548387096775,73,15123.5,15448.983870967742,140
63,4296.6349206349205,4620.9682539682535,75,15336.904761904761,15661.238095238095,142
64,4333.359375,4656.53125,76,15482.625,15805.796875,144
65,4368.753846153846,4690.784615384616,77,15693.6,16015.63076923077,148
66,4399.378787878788,4720.257575757576,78,15835.257575757576,16156.136363636364,149
67,4422.641791044776,4742.373134328358,77,16058.179104477613,16377.910447761195,152
68,4447.35294117647,4765.941176470588,80,16216.088235294117,16534.676470588234,154
69,4468.869565217391,4786.289855072464,79,16415.057971014492,16732.478260869564,156
70,4494.971428571429,4811.242857142857,80,16527.657142857144,16843.928571428572,158
71,4520.070422535211,4835.169014084507,82,16739.957746478874,17055.056338028167,162
72,4545.680555555556,4859.611111111111,82,16888.791666666668,17202.722222222223,163
73,4571.753424657534,4884.493150684932,82,17097.602739726026,17410.342465753423,166
74,4599.189189189189,4910.743243243243,82,17241.824324324323,17553.37837837838,168
75,4628.16,4938.546666666667,85,17446.333333333332,17756.72,170
76,4659.039473684211,4968.25,86,17565.394736842107,17874.605263157893,172
77,4686.558441558442,4994.597402597403,86,17765.623376623378,18073.66233766234,179
78,4719.74358974359,5026.628205128205,90,17837.25641025641,18144.141025641027,177
79,4743.544303797468,5049.291139240507,90,18011.392405063292,18317.13924050633,180
80,4756.775,5061.3625,90,18122.9125,18427.5,182
81,4771.037037037037,5074.469135802469,90,18292.16049382716,18595.59259259259,184
82,4787.012195121952,5089.268292682927,91,18398.024390243903,18700.280487804877,186
83,4799.108433734939,5100.168674698795,90,18557.265060240963,18858.32530120482,190
84,4813.476190476191,5113.357142857143,93,18633.52380952381,18933.404761904763,191
85,4829.211764705882,5127.929411764706,94,18817.04705882353,19115.764705882353,194
